zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,website,maxAge,address1,fax,industry,address2,symbol,compensationAsOfEpochDate
60265,Real Estate,48.0,"PT Fortune Mate Indonesia Tbk, together with its subsidiaries, provides real estate development and construction services primarily in Indonesia. Its project portfolio includes land, residential, office, and industrial properties. The company was founded in 1989 and is headquartered in Surabaya, Indonesia.",Surabaya,62 31 561 2818,Indonesia,https://www.fmiindo.com,86400,Gedung Gozco,62 31 562 0968,Real Estate—Development,Lantai 3 Jl. Raya Darmo no.54-56,FMII.JK,
10160,Consumer Defensive,1755.0,"PT Jaya Agra Wattie Tbk, together with its subsidiaries, engages in the cultivation, processing, logistics, and marketing of agricultural products in Indonesia and internationally. The company operates through three segments: Rubber, Palm Oil, and Others. It produces and sells rubber, coffee, tea, palm oil, and other agricultural products. The company was formerly known as Handel Maatschappij J.A. Wattie and Company Limited and changed its name to PT Jaya Agra Wattie Tbk in 1987. The company was founded in 1921 and is headquartered in Jakarta, Indonesia. PT Jaya Agra Wattie Tbk is a subsidiary of PT Sarana Agro Investama.",Jakarta,62 21 350 5906,Indonesia,https://www.jawattie.com,86400,Gedung Graha Dinamika,62 21 350 5906,Farm Products,2nd Floor Jalan Tanah Abang II Number 49 – 51,JAWA.JK,
40522,Consumer Cyclical,660.0,"PT Trisula Textile Industries Tbk, together with its subsidiaries, engages in the manufacture, distribution, and retailing of textile products in Indonesia. The company provides polyester, polyester cotton, and rayon fabrics; and corporate uniforms and ready to wear clothes with accessories, including hats, ties, scarfs, shoes, belts, and others. It offers its products under the BELLINI and CATERINA brand names. The company also exports its products to the United States, Europe, Vietnam, the Middle East, India, Sri Lanka, Myanmar, Thailand, Singapore, Japan, and Australia. The company was incorporated in 1968 and is headquartered in Cimahi, Indonesia. PT Trisula Textile Industries Tbk is a subsidiary of PT Trisula International Tbk.",Cimahi,62 22 661 3333,Indonesia,https://trisulatextile.com,86400,Jl. Mahar Martanegara No. 170,62 22 661 3377,Textile Manufacturing,,BELL.JK,
12950,Communication Services,545.0,"PT First Media Tbk, together with its subsidiaries, engages in technology, media, and telecommunication businesses in Indonesia. The company provides fixed cable based, multimedia, internet, telephony added value, and business management consultancy services; subscribed and private broadcasting services; and film and video recording services. It also offers calling card, local fixed network-based packet switched and internet, internet interconnection, general trading, broadcasting, news agency, and stationery and printing and publishing services, as well as trades in electronic and telecommunication equipment and parts, and printing and publishing goods. The company was formerly known as PT Broadband Multimedia Tbk and changed its name to PT First Media Tbk in 2007. PT First Media Tbk was founded in 1994 and is based in Jakarta, Indonesia. PT First Media Tbk is a subsidiary of AcrossAsia Ltd.",Jakarta,62 21 527 8811,Indonesia,https://www.firstmedia.co.id,86400,BeritaSatu Plaza,62 21 527 8833,Entertainment,"4th Floor, Suite 401 Jl. Jend. Gatot Subroto Kav. 35-36 Kuningan Timur, Setiabudi",KBLV.JK,
10160,Industrials,57.0,"PT Pelayaran Nelly Dwi Putri Tbk provides shipping services in Indonesia. The operates through three segments: Vessel Charter Services, Ship Repair and Construction Services, and Other Services. The company offers vessel charter services; and builds, repairs, and maintains tugboats and barges. It also transports timber, coal, nickel, stone, sand, and others, as well as provides shipping consulting services. The company was founded in 1977 and is based in Jakarta Pusat, Indonesia. PT Pelayaran Nelly Dwi Putri Tbk is a subsidiary of PT Haskojaya Abadi.",Jakarta Pusat,62 21 385 9649,Indonesia,https://www.nellydwiputri.co.id,86400,Jalan Majapahit No. 28 A (Dalam),62 21 380 9280,Marine Shipping,,NELY.JK,
15560,Basic Materials,586.0,"PT Ekadharma International Tbk, together with its subsidiaries, manufactures and markets self-adhesive tapes in Indonesia and Malaysia. The company offers aluminum foil and anti-slip tape; cling wrap, double foam, cloth, and double side tape; epoxy glue, kraft, masking, metalizing tape, OPP, OPP printing, PVC electrical insulation, and stationary tapes; stretch film; and water glue, white glue, super glue, and glue stick under the DAIMARU, SUPERFIX, and EKATAPE brands. It also provides adjustable carton sealer with fold flap closer; top drive, side drive, and random semi-automatic carton sealers; and semi-automatic stretch wrappers under the BESTPACK brand. The company was formerly known as PT Ekadharma Widya Grafika and changed its name to PT Ekadharma International Tbk in 2006. The company was founded in 1981 and is headquartered in Tangerang, Indonesia. PT Ekadharma International Tbk is a subsidiary of PT Ekadharma Inti Perkasa.",Tangerang,62 21 590 0160,Indonesia,https://www.ekadharma.com,86400,Kawasan Industri Pasar Kemis Blok C-1,62 21 590 0165,Specialty Chemicals,Jl. Raya Pasar Kemis,EKAD.JK,
12190,Financial Services,6.0,"PT Danasupra Erapacific Tbk engages in leasing, factoring, and consumer financing activities in Indonesia. It offers financing for used and new cars, such as sedan, multipurpose and sport utility vehicles, pick up vehicles, trucks, and buses; and housing, home stores, home offices, condominiums/apartments, and small offices home offices. The company also provides financing facilities for procurement of capital goods, including heavy equipment for mining, industry, plantation, and forestry; and various purposes comprising marriage, home renovation, travel, worship, education, and other consumption purposes. In addition, it provides funds for investment, and working capital purposes. PT Danasupra Erapacific Tbk was incorporated in 1994 and is headquartered in Jakarta, Indonesia.",Jakarta,62 21 5140 1157,Indonesia,https://www.danasupra.com,86400,Tower C,62 21 5140 1159,Credit Services,5th Floor 18 Parc Place SCBD Jl. Jenderal Sudirman Kav. 52-53,DEFI.JK,
11610,Energy,888.0,"PT RMK Energy Tbk, together with its subsidiaries, engages in trading, loading and unloading, and crushing coal in Indonesia. The company operates through Coal Sales and Services segments. It is also involved in the stock piling and port management activities. The company was founded in 2009 and is headquartered in Jakarta, Indonesia. PT RMK Energy Tbk is a subsidiary of Pt Rmk Investama.",Jakarta,62 21 582 2555,Indonesia,https://www.rmkenergy.com,86400,"Wisma RMK,2nd Floor",62 21 582 2555,Thermal Coal,Jln Puri Kencana Blok M4 No.1 Kembangan Jakarta Barat,RMKE.JK,
11480,Financial Services,2591.0,"PT. Clipan Finance Indonesia Tbk provides financial leasing, consumer financing, and factoring services. It offers used car and fleet financing; cash fund financing for home renovation, education, health, tourism, etc.; and heavy equipment financing for mining, industry, plantations, forestry, barges, tugboats, and production machinery. The company was founded in 1982 and is headquartered in Jakarta, Indonesia. PT. Clipan Finance Indonesia Tbk is a subsidiary of PT Bank Pan Indonesia Tbk.",Jakarta,62 21 530 8005,Indonesia,https://www.clipan.co.id,86400,Wisma Slipi,,Credit Services,6th Floor Jl. Letjend. S. Parman Kav. 12,CFIN.JK,
12930,Industrials,91.0,"PT Trans Power Marine Tbk provides bulk cargo transportation and transshipment services in Indonesia and Southeast Asia. It transports bulk commodities, such as iron ore, sand, coal, wood pellets, gypsum, woodchips, clinker, sponge rotary kiln, etc. As of December 31, 2021, the company operated a fleet of 74 units, including 38 tugboats, 33 barges, and 3 crane barges. The company was founded in 2005 and is headquartered in Jakarta Selatan, Indonesia. PT Trans Power Marine Tbk is a subsidiary of PT Dwitunggal Perkasa Mandiri.",Jakarta Selatan,62 21 2295 8999,Indonesia,https://www.transpowermarine.com,86400,Centennial Tower Building,62 21 2295 8737,Marine Shipping,"26th Floor, Suite #A-B Jl. Jendral Gatot Subroto Kav 24-25 Karet Semanggi - Setiabudi",TPMA.JK,
40228,Consumer Cyclical,1133.0,"PT Hartadinata Abadi Tbk manufactures and sells gold jewelry products in Indonesia. The company offers necklaces, rings, pendants, earrings, and bracelets. It sells its products through its retail and online stores. The company also provides franchising opportunities for its stores. As of December 31, 2021, the company operated 69 stores under the Aurum Colection Center (ACC) name, 3 outlets under the Claudia Perfect Jewelery name, and 2 outlets under the Celine Jewelery name. The company was founded in 1989 and is headquartered in Bandung, Indonesia. PT Hartadinata Abadi Tbk is a subsidiary of PT Terang Anugrah Abadi.",Bandung,62 22 540 2326,Indonesia,https://www.hartadinataabadi.co.id/id,86400,Jalan Kopo Sayati No. 165,62 22 540 3002,Luxury Goods,,HRTA.JK,
