zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,website,maxAge,address1,fax,industry,address2,symbol
10220,Industrials,95.0,"PT Pelita Samudera Shipping Tbk provides integrated logistic and shipping solutions primarily for coal mining companies in Indonesia. It operates through three segments: Time Charter of Tugboats and Barges, Floating Loading Facilities, and Motor Vessels. The company engages in the inter-island coal transportation to various locations of coal-fired power plants and other industries, as well as floating loading facility and floating bulk unloader activities. It also owns 39 tug boats and 39 barges with a range of capacities ranging from 7,500 metric tons to 9,500 metric tons. The company was founded in 2007 and is headquartered in Jakarta, Indonesia.",Jakarta,62 21 3000 6800,Indonesia,https://www.ptpss.co.id,86400,Menara Astra,62 21 3000 6801,Marine Shipping,23th Floor Jalan Jenderal Sudirman Kav.5-6,PSSI.JK
10340,Industrials,734.0,"PT Supreme Cable Manufacturing & Commerce Tbk manufactures and sells electrical cables, and insulation and melamine products in Indonesia and internationally. The company operates through cable, insulation and melamine segments. It offers building wires; low voltage power cables and bare conductors; and medium and high voltage power cables. It also provides fire resistant, armored, fire resistant corrugated, and other instrumentation cables; enameled wires; and OPGW and fiber optic, telecommunication, airport lighting, and fire resistant cables. In addition, the company manufactures pellet cross linked polyethylene and poly-vinyl chloride products; melamine, resin, and melamine sheet products; and plastic and cable reel products. PT Supreme Cable Manufacturing & Commerce Tbk offers its products under the SUPREME brand. The company was formerly known as PT Supreme Cable Manufacturing Corporation Tbk and changed its name to PT Supreme Cable Manufacturing & Commerce Tbk in October 2006. PT Supreme Cable Manufacturing & Commerce Tbk was founded in 1970 and is headquartered in Central Jakarta, Indonesia.",Jakarta Pusat,62 21 310 0525,Indonesia,https://www.sucaco.com,86400,Jl. Kebon Sirih No. 71,62 21 3193 1119,Electrical Equipment & Parts,,SCCO.JK
12190,Energy,16269.0,"PT Delta Dunia Makmur Tbk, through its subsidiaries, operates as a coal mining contractor in Indonesia. The company provides coal mining, overburden removal, coal hauling, waste removal, reclamation, and land rehabilitation services, as well as road maintenance services. It also engages in the rental of heavy equipment. PT Delta Dunia Makmur Tbk was founded in 1990 and is headquartered in Jakarta, Indonesia.",Jakarta,62 21 3043 2080,Indonesia,https://deltadunia.com,86400,Pacific Century Place,62 21 3043 2081,Thermal Coal,"38th Floor, SCBD Lot 10 Jl. Jend. Sudirman Kav 52-53",DOID.JK
12870,Consumer Cyclical,209.0,"PT Citra Putra Realty Tbk engages in the hospitality, real estate, and property businesses in Indonesia. The company purchases, sells, rents, and operates self-owned or leased real estate properties, such as apartment and residential buildings, exhibition venues, personal storage facilities, malls, and shopping centers. It also owns and operates hotels under The Stones Legian Hotel and Clay Hotel names. In addition, the company is involved in the wholesale of machinery, equipment, paint, varnish, and building supplies; and trade of rough wood, main processed wood products, and building materials, such as markets and gravel. Further, it provides consulting services in human resource, real estate property areas operation management and maintenance, property and asset appraisal, investment, architect, business, advertising, entertainment, and related business fields. Additionally, the company offers property agency, rental, management, and planning services; land and buildings entrepreneur services; room rental services; landscape, design, and interior, as well as management and business consulting services; and accommodation for visitors and travelers that are provided by various hotels, inns, hostels, villas, and other star hotels. The company was founded in 2009 and is headquartered in Jakarta Selatan, Indonesia. PT Citra Putra Realty Tbk is a subsidiary of PT Citra Putra Mandiri.",Jakarta Selatan,62 21 2906 9370,Indonesia,https://cpr.co.id,86400,"Bidakara Tower 2, Lt. 17",62 21 2961 2865,Lodging,"Jl. Gen. Gatot Subroto Kav. 71- 73 Menteng Dalam, Tebet",CLAY.JK
12520,Consumer Defensive,504.0,"PT Akasha Wira International Tbk manufactures and distributes bottled drinking water and cosmetic products in Indonesia and internationally. It provides bottled drinking water under the Nestle Pure Life and Vica Royal brands; soy milk under the Pureal brand; and beauty care products, such as hair energy and hair recovery products under the Makarizo and Wella brand. The company was founded in 1985 and is headquartered in Jakarta, Indonesia. PT Akasha Wira International Tbk is a subsidiary of Water Partners Bottling S.A.",Jakarta,62 21 2754 5000,Indonesia,https://www.akashainternational.com,86400,Perkantoran Hijau Arkadia Tower C,62 21 7884 5549,Beverages—Non-Alcoholic,Lantai 15 Jalan Letjen. T. B. Simatupang Kav. 88,ADES.JK
14320,Industrials,709.0,"PT Nusantara Pelabuhan Handal Tbk manages and operates container terminals in Indonesia and Thailand. It operates through Port Services, Sales Container Handling, and Others segments. The company provides container handling and stevedoring services for export/import commodities; goods loading and unloading services; and repair and maintenance services. It is also involved in the trading and investment activities. In addition, the company offers equipment services; and engineering services, retrofitting, and lashing structure systems for shipment. Further, it supplies cranes; and provides seaport and sea transportation services. The company was formerly known as PT Kharisma Mutiara Agung and changed its name to PT Nusantara Pelabuhan Handal Tbk in November 2016. The company was founded in 2003 and is headquartered in Jakarta, Indonesia. PT Nusantara Pelabuhan Handal Tbk is a subsidiary of PT Episenta Utama Investasi.",Jakarta,62 21 2243 5010,Indonesia,https://www.nusantaraport.id,86400,NPH Building,62 21 2243 5525,Marine Shipping,Jl. Kebon Bawang I No.45 Kebon Bawang Tanjung Priok,PORT.JK
12950,Industrials,2442.0,"PT Surya Semesta Internusa Tbk, together with its subsidiaries, engages in the construction business. The company operates through five divisions: Industrial Estates Development, Real Estate and Rental of Buildings, Building Construction, Investment in Shares to Other Companies, and Hotels. It is involved in the development and management of industrial estates, real estate, buildings, and commercial centers; provision of construction and general contractor services for commercial buildings, mining, and infrastructure projects; and development and management of hotels and resorts, as well as hospitality activities. The company owns approximately 10 hotels under the Gran Meliá Jakarta and Meliá Bali Hotels, Jumana Ungasan Resort Bali, The Plaza Hotel Glodok, and BATIQA Hotels brands. It also rents office buildings and shopping centers; and provides trading, development, transportation, agriculture, warehousing, mining and services, and building management and construction services. The company was formerly known as PT Multi Investments Limited and changed its name to PT Surya Semesta Internusa Tbk in 1995. PT Surya Semesta Internusa Tbk was founded in 1971 and is based in Jakarta, Indonesia.",Jakarta,62 21 526 2121,Indonesia,https://www.suryainternusa.com,86400,Tempo Scan Tower,62 21 526 7878,Engineering & Construction,20th Floor Jalan H.R. Rasuna Said Kavling 3-4 Kuningan,SSIA.JK
12950,Financial Services,102.0,"PT Surya Fajar Capital Tbk, together with its subsidiaries, provides financial and investment consulting services in Indonesia. It operates in four segments: Brokerage and Underwriter, Financial Technology Peer to Peer Lending, Electronic Payment Services, and Consultancy Services. The company offers advisory services on strategic transaction, such as mergers and acquisitions, divestment, and restructuring in the initial public offering (IPO) preparation; other financial services, including right issue, bond issuance, medium term notes, and other fund-raising activities; micro financing activities and MSME through the P2P lending platform; and electronic money services. It is also involved in the investment in marketable securities, associated company, joint ventures, and fully controlled business units. The company was founded in 2016 and is headquartered in Jakarta, Indonesia. PT Surya Fajar Capital Tbk is a subsidiary of PT Surya Fajar Corpora.",Jakarta,62 21 2251 3339,Indonesia,https://www.sfcapital.co.id,86400,Satrio Tower Building Lt. 14 Unit 6,62 21 2598 1342,Asset Management,"Jalan Prof. Dr. Satrio Blok C4/5 Kuningan, DKI",SFAN.JK
11470,Real Estate,124.0,"PT Makmur Berkah Amanda Tbk, together with its subsidiary, operates as a real estate developer in Indonesia. It operates in three segments: Finished Warehouse, Rental, and Hospitality. The company develops residential, commercial, warehouse, and industrial properties. It also operates a hotel under the Hotel Element By Westin name. The company was founded in 1996 and is headquartered in Jakarta Barat, Indonesia. PT Makmur Berkah Amanda Tbk is a subsidiary of PT Griya Prima Amanda.",Jakarta Barat,62 21 2119 2888,Indonesia,https://www.mbagroup.id,86400,"APL Tower,Unit OT/35/T5 Podomoro City",62 21 2119 1008,Real Estate—Development,Jl. S. Parman Kav. 28 Tanjung Duren Selatan Grogol Petamburan,AMAN.JK
12930,Financial Services,688.0,"PT Bank Victoria International Tbk provides various banking products and services in Indonesia. It offers various savings accounts; demand, time, and forex deposits; current accounts; bank guarantees; and loan products, such as home and car ownership loan, multi-purpose credit, implant banking credit, and domestic letters of credit, as well as corporate and commercial lending, small medium enterprise lending, and multi finance lending products. The company also provides investment products; foreign exchange services, including remittance, trade finance, and treasury and other interbank services; and clearing/payment, transfer, real time gross settlement, bill payment, ATM, and internet and mobile banking services, as well as Sharia banking services. As of December 31, 2021, it operated through a network of 40 offices, which include 1 head office, 14 branch offices, and 25 sub-branch offices. The company was incorporated in 1992 and is headquartered in Jakarta Selatan, Indonesia.",Jakarta Selatan,62 21 522 8888,Indonesia,https://www.victoriabank.co.id,86400,Graha BIP Building,62 21 522 8777,Banks—Regional,10th Floor Jalan Gatot Subroto Kav. 23,BVIC.JK
